method	path	handler	file	line	section
POST	/api/event_logging/batch	inline route func	backend/internal/server/routes/common.go	17	common
GET	/health	inline route func	backend/internal/server/routes/common.go	12	common
POST	/setup/install	install	backend/internal/setup/handler.go	34	common
GET	/setup/status	inline route func	backend/internal/server/routes/common.go	23	common
GET	/setup/status	getStatus	backend/internal/setup/handler.go	26	common
POST	/setup/test-db	testDatabase	backend/internal/setup/handler.go	32	common
POST	/setup/test-redis	testRedis	backend/internal/setup/handler.go	33	common
GET	/api/v1/announcements	h.Announcement.List	backend/internal/server/routes/user.go	74	auth-user
POST	/api/v1/announcements/:id/read	h.Announcement.MarkRead	backend/internal/server/routes/user.go	75	auth-user
POST	/api/v1/auth/forgot-password	h.Auth.ForgotPassword	backend/internal/server/routes/auth.go	58	auth-user
POST	/api/v1/auth/login	h.Auth.Login	backend/internal/server/routes/auth.go	34	auth-user
POST	/api/v1/auth/login/2fa	h.Auth.Login2FA	backend/internal/server/routes/auth.go	37	auth-user
POST	/api/v1/auth/logout	h.Auth.Logout	backend/internal/server/routes/auth.go	48	auth-user
GET	/api/v1/auth/me	h.Auth.GetCurrentUser	backend/internal/server/routes/auth.go	86	auth-user
GET	/api/v1/auth/oauth/linuxdo/callback	h.Auth.LinuxDoOAuthCallback	backend/internal/server/routes/auth.go	66	auth-user
POST	/api/v1/auth/oauth/linuxdo/complete-registration		backend/internal/server/routes/auth.go	67	auth-user
GET	/api/v1/auth/oauth/linuxdo/start	h.Auth.LinuxDoOAuthStart	backend/internal/server/routes/auth.go	65	auth-user
POST	/api/v1/auth/refresh	h.Auth.RefreshToken	backend/internal/server/routes/auth.go	44	auth-user
POST	/api/v1/auth/register	h.Auth.Register	backend/internal/server/routes/auth.go	31	auth-user
POST	/api/v1/auth/reset-password	h.Auth.ResetPassword	backend/internal/server/routes/auth.go	62	auth-user
POST	/api/v1/auth/revoke-all-sessions	h.Auth.RevokeAllSessions	backend/internal/server/routes/auth.go	88	auth-user
POST	/api/v1/auth/send-verify-code	h.Auth.SendVerifyCode	backend/internal/server/routes/auth.go	40	auth-user
POST	/api/v1/auth/validate-invitation-code	h.Auth.ValidateInvitationCode	backend/internal/server/routes/auth.go	54	auth-user
POST	/api/v1/auth/validate-promo-code	h.Auth.ValidatePromoCode	backend/internal/server/routes/auth.go	50	auth-user
GET	/api/v1/groups/available	h.APIKey.GetAvailableGroups	backend/internal/server/routes/user.go	54	auth-user
GET	/api/v1/groups/rates	h.APIKey.GetUserGroupRates	backend/internal/server/routes/user.go	55	auth-user
GET	/api/v1/keys	h.APIKey.List	backend/internal/server/routes/user.go	44	auth-user
POST	/api/v1/keys	h.APIKey.Create	backend/internal/server/routes/user.go	46	auth-user
DELETE	/api/v1/keys/:id	h.APIKey.Delete	backend/internal/server/routes/user.go	48	auth-user
GET	/api/v1/keys/:id	h.APIKey.GetByID	backend/internal/server/routes/user.go	45	auth-user
PUT	/api/v1/keys/:id	h.APIKey.Update	backend/internal/server/routes/user.go	47	auth-user
POST	/api/v1/redeem	h.Redeem.Redeem	backend/internal/server/routes/user.go	81	auth-user
GET	/api/v1/redeem/history	h.Redeem.GetHistory	backend/internal/server/routes/user.go	82	auth-user
GET	/api/v1/settings/public	h.Setting.GetPublicSettings	backend/internal/server/routes/auth.go	78	auth-user
POST	/api/v1/sora/generate	h.SoraClient.Generate	backend/internal/server/routes/sora_client.go	26	auth-user
GET	/api/v1/sora/generations	h.SoraClient.ListGenerations	backend/internal/server/routes/sora_client.go	27	auth-user
DELETE	/api/v1/sora/generations/:id	h.SoraClient.DeleteGeneration	backend/internal/server/routes/sora_client.go	29	auth-user
GET	/api/v1/sora/generations/:id	h.SoraClient.GetGeneration	backend/internal/server/routes/sora_client.go	28	auth-user
POST	/api/v1/sora/generations/:id/cancel	h.SoraClient.CancelGeneration	backend/internal/server/routes/sora_client.go	30	auth-user
POST	/api/v1/sora/generations/:id/save	h.SoraClient.SaveToStorage	backend/internal/server/routes/sora_client.go	31	auth-user
GET	/api/v1/sora/models	h.SoraClient.GetModels	backend/internal/server/routes/sora_client.go	33	auth-user
GET	/api/v1/sora/quota	h.SoraClient.GetQuota	backend/internal/server/routes/sora_client.go	32	auth-user
GET	/api/v1/sora/storage-status	h.SoraClient.GetStorageStatus	backend/internal/server/routes/sora_client.go	34	auth-user
GET	/api/v1/subscriptions	h.Subscription.List	backend/internal/server/routes/user.go	88	auth-user
GET	/api/v1/subscriptions/active	h.Subscription.GetActive	backend/internal/server/routes/user.go	89	auth-user
GET	/api/v1/subscriptions/progress	h.Subscription.GetProgress	backend/internal/server/routes/user.go	90	auth-user
GET	/api/v1/subscriptions/summary	h.Subscription.GetSummary	backend/internal/server/routes/user.go	91	auth-user
GET	/api/v1/usage	h.Usage.List	backend/internal/server/routes/user.go	61	auth-user
GET	/api/v1/usage/:id	h.Usage.GetByID	backend/internal/server/routes/user.go	62	auth-user
POST	/api/v1/usage/dashboard/api-keys-usage	h.Usage.DashboardAPIKeysUsage	backend/internal/server/routes/user.go	68	auth-user
GET	/api/v1/usage/dashboard/models	h.Usage.DashboardModels	backend/internal/server/routes/user.go	67	auth-user
GET	/api/v1/usage/dashboard/stats	h.Usage.DashboardStats	backend/internal/server/routes/user.go	65	auth-user
GET	/api/v1/usage/dashboard/trend	h.Usage.DashboardTrend	backend/internal/server/routes/user.go	66	auth-user
GET	/api/v1/usage/stats	h.Usage.Stats	backend/internal/server/routes/user.go	63	auth-user
PUT	/api/v1/user	h.User.UpdateProfile	backend/internal/server/routes/user.go	27	auth-user
PUT	/api/v1/user/password	h.User.ChangePassword	backend/internal/server/routes/user.go	26	auth-user
GET	/api/v1/user/profile	h.User.GetProfile	backend/internal/server/routes/user.go	25	auth-user
POST	/api/v1/user/totp/disable	h.Totp.Disable	backend/internal/server/routes/user.go	37	auth-user
POST	/api/v1/user/totp/enable	h.Totp.Enable	backend/internal/server/routes/user.go	36	auth-user
POST	/api/v1/user/totp/send-code	h.Totp.SendVerifyCode	backend/internal/server/routes/user.go	34	auth-user
POST	/api/v1/user/totp/setup	h.Totp.InitiateSetup	backend/internal/server/routes/user.go	35	auth-user
GET	/api/v1/user/totp/status	h.Totp.GetStatus	backend/internal/server/routes/user.go	32	auth-user
GET	/api/v1/user/totp/verification-method	h.Totp.GetVerificationMethod	backend/internal/server/routes/user.go	33	auth-user
GET	/antigravity/models	h.Gateway.AntigravityModels	backend/internal/server/routes/gateway.go	103	gateway
POST	/antigravity/v1/messages	h.Gateway.Messages	backend/internal/server/routes/gateway.go	115	gateway
POST	/antigravity/v1/messages/count_tokens	h.Gateway.CountTokens	backend/internal/server/routes/gateway.go	116	gateway
GET	/antigravity/v1/models	h.Gateway.AntigravityModels	backend/internal/server/routes/gateway.go	117	gateway
GET	/antigravity/v1/usage	h.Gateway.Usage	backend/internal/server/routes/gateway.go	118	gateway
GET	/antigravity/v1beta/models	h.Gateway.GeminiV1BetaListModels	backend/internal/server/routes/gateway.go	130	gateway
GET	/antigravity/v1beta/models/:model	h.Gateway.GeminiV1BetaGetModel	backend/internal/server/routes/gateway.go	131	gateway
POST	/antigravity/v1beta/models/*modelAction	h.Gateway.GeminiV1BetaModels	backend/internal/server/routes/gateway.go	132	gateway
POST	/chat/completions	h.OpenAIGateway.ChatCompletions	backend/internal/server/routes/gateway.go	100	gateway
GET	/responses	h.OpenAIGateway.ResponsesWebSocket	backend/internal/server/routes/gateway.go	98	gateway
POST	/responses	h.OpenAIGateway.Responses	backend/internal/server/routes/gateway.go	96	gateway
POST	/responses/*subpath	h.OpenAIGateway.Responses	backend/internal/server/routes/gateway.go	97	gateway
GET	/sora/media-signed/*filepath	h.SoraGateway.MediaProxySigned	backend/internal/server/routes/gateway.go	156	gateway
GET	/sora/media/*filepath	h.SoraGateway.MediaProxy	backend/internal/server/routes/gateway.go	151	gateway
GET	/sora/media/*filepath	h.SoraGateway.MediaProxy	backend/internal/server/routes/gateway.go	153	gateway
POST	/sora/v1/chat/completions	h.SoraGateway.ChatCompletions	backend/internal/server/routes/gateway.go	145	gateway
GET	/sora/v1/models	h.Gateway.Models	backend/internal/server/routes/gateway.go	146	gateway
POST	/v1/chat/completions	h.OpenAIGateway.ChatCompletions	backend/internal/server/routes/gateway.go	77	gateway
POST	/v1/messages	inline route func	backend/internal/server/routes/gateway.go	49	gateway
POST	/v1/messages/count_tokens	inline route func	backend/internal/server/routes/gateway.go	57	gateway
GET	/v1/models	h.Gateway.Models	backend/internal/server/routes/gateway.go	70	gateway
GET	/v1/responses	h.OpenAIGateway.ResponsesWebSocket	backend/internal/server/routes/gateway.go	75	gateway
POST	/v1/responses	h.OpenAIGateway.Responses	backend/internal/server/routes/gateway.go	73	gateway
POST	/v1/responses/*subpath	h.OpenAIGateway.Responses	backend/internal/server/routes/gateway.go	74	gateway
GET	/v1/usage	h.Gateway.Usage	backend/internal/server/routes/gateway.go	71	gateway
GET	/v1beta/models	h.Gateway.GeminiV1BetaListModels	backend/internal/server/routes/gateway.go	89	gateway
GET	/v1beta/models/:model	h.Gateway.GeminiV1BetaGetModel	backend/internal/server/routes/gateway.go	90	gateway
POST	/v1beta/models/*modelAction	h.Gateway.GeminiV1BetaModels	backend/internal/server/routes/gateway.go	92	gateway
PUT	/api/v1/admin/api-keys/:id	h.Admin.APIKey.UpdateGroup	backend/internal/server/routes/admin.go	93	admin-core
POST	/api/v1/admin/dashboard/aggregation/backfill	h.Admin.Dashboard.BackfillAggregation	backend/internal/server/routes/admin.go	202	admin-core
GET	/api/v1/admin/dashboard/api-keys-trend	h.Admin.Dashboard.GetAPIKeyUsageTrend	backend/internal/server/routes/admin.go	196	admin-core
POST	/api/v1/admin/dashboard/api-keys-usage	h.Admin.Dashboard.GetBatchAPIKeysUsage	backend/internal/server/routes/admin.go	200	admin-core
GET	/api/v1/admin/dashboard/groups	h.Admin.Dashboard.GetGroupStats	backend/internal/server/routes/admin.go	195	admin-core
GET	/api/v1/admin/dashboard/models	h.Admin.Dashboard.GetModelStats	backend/internal/server/routes/admin.go	194	admin-core
GET	/api/v1/admin/dashboard/realtime	h.Admin.Dashboard.GetRealtimeMetrics	backend/internal/server/routes/admin.go	192	admin-core
GET	/api/v1/admin/dashboard/snapshot-v2	h.Admin.Dashboard.GetSnapshotV2	backend/internal/server/routes/admin.go	190	admin-core
GET	/api/v1/admin/dashboard/stats	h.Admin.Dashboard.GetStats	backend/internal/server/routes/admin.go	191	admin-core
GET	/api/v1/admin/dashboard/trend	h.Admin.Dashboard.GetUsageTrend	backend/internal/server/routes/admin.go	193	admin-core
GET	/api/v1/admin/dashboard/user-breakdown	h.Admin.Dashboard.GetUserBreakdown	backend/internal/server/routes/admin.go	201	admin-core
GET	/api/v1/admin/dashboard/users-ranking	h.Admin.Dashboard.GetUserSpendingRanking	backend/internal/server/routes/admin.go	198	admin-core
GET	/api/v1/admin/dashboard/users-trend	h.Admin.Dashboard.GetUserUsageTrend	backend/internal/server/routes/admin.go	197	admin-core
POST	/api/v1/admin/dashboard/users-usage	h.Admin.Dashboard.GetBatchUsersUsage	backend/internal/server/routes/admin.go	199	admin-core
GET	/api/v1/admin/groups	h.Admin.Group.List	backend/internal/server/routes/admin.go	228	admin-core
POST	/api/v1/admin/groups	h.Admin.Group.Create	backend/internal/server/routes/admin.go	232	admin-core
DELETE	/api/v1/admin/groups/:id	h.Admin.Group.Delete	backend/internal/server/routes/admin.go	234	admin-core
GET	/api/v1/admin/groups/:id	h.Admin.Group.GetByID	backend/internal/server/routes/admin.go	231	admin-core
PUT	/api/v1/admin/groups/:id	h.Admin.Group.Update	backend/internal/server/routes/admin.go	233	admin-core
GET	/api/v1/admin/groups/:id/api-keys	h.Admin.Group.GetGroupAPIKeys	backend/internal/server/routes/admin.go	239	admin-core
DELETE	/api/v1/admin/groups/:id/rate-multipliers	h.Admin.Group.ClearGroupRateMultipliers	backend/internal/server/routes/admin.go	238	admin-core
GET	/api/v1/admin/groups/:id/rate-multipliers	h.Admin.Group.GetGroupRateMultipliers	backend/internal/server/routes/admin.go	236	admin-core
PUT	/api/v1/admin/groups/:id/rate-multipliers	h.Admin.Group.BatchSetGroupRateMultipliers	backend/internal/server/routes/admin.go	237	admin-core
GET	/api/v1/admin/groups/:id/stats	h.Admin.Group.GetStats	backend/internal/server/routes/admin.go	235	admin-core
GET	/api/v1/admin/groups/:id/subscriptions	h.Admin.Subscription.ListByGroup	backend/internal/server/routes/admin.go	496	admin-core
GET	/api/v1/admin/groups/all	h.Admin.Group.GetAll	backend/internal/server/routes/admin.go	229	admin-core
PUT	/api/v1/admin/groups/sort-order	h.Admin.Group.UpdateSortOrder	backend/internal/server/routes/admin.go	230	admin-core
GET	/api/v1/admin/settings	h.Admin.Setting.GetSettings	backend/internal/server/routes/admin.go	395	admin-core
PUT	/api/v1/admin/settings	h.Admin.Setting.UpdateSettings	backend/internal/server/routes/admin.go	396	admin-core
DELETE	/api/v1/admin/settings/admin-api-key	h.Admin.Setting.DeleteAdminAPIKey	backend/internal/server/routes/admin.go	402	admin-core
GET	/api/v1/admin/settings/admin-api-key	h.Admin.Setting.GetAdminAPIKey	backend/internal/server/routes/admin.go	400	admin-core
POST	/api/v1/admin/settings/admin-api-key/regenerate	h.Admin.Setting.RegenerateAdminAPIKey	backend/internal/server/routes/admin.go	401	admin-core
GET	/api/v1/admin/settings/beta-policy	h.Admin.Setting.GetBetaPolicySettings	backend/internal/server/routes/admin.go	410	admin-core
PUT	/api/v1/admin/settings/beta-policy	h.Admin.Setting.UpdateBetaPolicySettings	backend/internal/server/routes/admin.go	411	admin-core
GET	/api/v1/admin/settings/rectifier	h.Admin.Setting.GetRectifierSettings	backend/internal/server/routes/admin.go	407	admin-core
PUT	/api/v1/admin/settings/rectifier	h.Admin.Setting.UpdateRectifierSettings	backend/internal/server/routes/admin.go	408	admin-core
POST	/api/v1/admin/settings/send-test-email	h.Admin.Setting.SendTestEmail	backend/internal/server/routes/admin.go	398	admin-core
GET	/api/v1/admin/settings/sora-s3	h.Admin.Setting.GetSoraS3Settings	backend/internal/server/routes/admin.go	413	admin-core
